Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFP,MFN
1,"Unpolarized capacitor, small symbol",C_Small,C8,1.2p,C_0603,1,,CC0603CRNPO9BN1R2,Yageo
2,"Unpolarized capacitor, small symbol",C_Small,C9 C12,100n,C_1206,2,,885012206071,Wurth Electronics
3,"Unpolarized capacitor, small symbol",C_Small,C3 C4,10n,C_0603,2,,GRM1885C1H103JA01D,Murata Electronics
4,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C5 C6,10u,C_1210,4,,GMK325BJ106MN-T,Taiyo Yuden
5,Photodiode,D_Photo,D1,SFH2030,PhotoDiode_SFH2030,1,,,
6,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",Conn_Coaxial,J2,CONN_01X02,SMA_THT_Jack_Straight,1,,,
7,"Resistor, small symbol",R_Small,R4,49.9,R_1206,1,,RT1206FRE0749R9L,Yageo
8,"Resistor, small symbol",R_Small,R3,49.9k,R_0603,1,,RR0816P-4992-D-68C,Susumu
9,"215MHz, Rail-to-Rail Output, 1.1nV/√Hz, 3.5mA Op Amp",LTC2057,U2,ADA 4898-1,SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm,1,http://cds.linear.com/docs/en/datasheet/623012fc.pdf,ADA4898-1YRDZ,Analog Devices
10,"Dual 150mA, Positive/Negative Low Noise, Low Dropout Linear Regulator, Fixed Output",LT3032-X,U1,LT3032-12,DFN-14-1EP_3x4mm_Pitch0.5mm_2Pads,1,https://cds.linear.com/docs/en/datasheet/3032ff.pdf,LT3032EDE-12#TRPBF,Linear Technology





Component Groups:,12
Component Count:,17
Fitted Components:,15
Number of PCBs:,1
Total components:,15
Schematic Version:,1.3
Schematic Date:,2018-11-15
PCB Variant:,default
BoM Date:,29.09.2020 00:38:40
Schematic Source:,C:\Users\Tilman Preuschoff\Documents\GitHub\SFH203_photodetector\SFH203_photodetector.sch
KiCad Version:,Eeschema (5.1.5)-3
